"","OTHER_PCP_RATE_PREV","CHILDREN_IN_POVERTY","PCT_EXCESSIVE_DRINKING","SEVERE_HOUSING_PROBLEMS","DRUG_POISONING_MORTALITY_RATE","OTHER_PCP_RATIO_PREV","LIMITED_TO_HEALTHYFOOD","CHLAMYDIA_CASES","PCT_UNEMPLOYED","AVG_DAILY_PM25","DRUG_POISONING_DEATHS","MAMMO_MEDICARE_ENROLLEES","NATIVE_HAWAIIAN","HIV_RATE","ANNUAL_VIOLENT_CRIMES","DENTISTS_RATIO","PCT_SINGLE_PARENT_HOUSEHOLDS","ASIAN","PCT_RURAL","SOME_COLLEGE_POPULATION","HIV_CASES","PRIMARY_CARE_PHYS_RATIO","AMERICAN_INDIAN","PCT_LBW","PRIMARY_CARE_PHYSICIANS","INJURY_DEATHS_RATE","UNEMPLOYED","CHILD_MORTALITY_RATE","MOTOR_VEHICLE_MORTALITY_RATE","TEEN_BIRTHS","AGE_65_AND_GREATER","HISPANIC","PCT_SMOKERS","PCT_SEVERE_HOUSING_PROBLEMS","PCT_FEMALE","PCT_OBESE","GRADUATION_RATE","CHLAMYDIA_RATE","PCT_DRIVE_ALONE","PCT_MAMMOGRAPHY","POP_IN_VIOLATIONS","PCT_ALC_IMPAIRED","DENTISTS_RATIO_PREV","SOME_COLLEGE","PCT_SOME_COLLEGE","CHILD_TOTAL_DEATHS","UNINSURED_CHILDREN","LONG_COMMUTE_DRIVE_ALONE","PCT_FAIR_POOR_HEALTH","PCT_NO_SOCIAL_EMO_SUPPORT","HEALTH_CARE_COSTS","INJURY_DEATHS","ACSC_RATE","State","COUNTY","STATE_SHORT","VIOLENT_CRIME_RATE","HOMICIDE_RATE","FUND_AMOUNT"
"21",2514,955,11.15,735,0,1581,2202.067047,77,7.211389663,276,0,140,0.078802207,390,45.33333333,1321,45.03311258,1.912744466,100,3320,167,657,0.479977076,8.9,3,86.1,466,74.21701054,35.01040015,173,16.66548321,1.583207966,16.6,13.03191489,51.64410058,35.7,87.5,553.5,80.23493361,57.14285714,2,27.77777778,1347,1441,43.40361446,10,278,45.8,20.3,17.7,9767.930545,60,106.2489317,"ALABAMA","CRENSHAW","AL",357.8664842,0,0
"22",1893,4607,10.9,4160,7.188129523,1942,2535.502139,259,6.404920822,254,40,810,0.042247046,1238,147,2302,27.05466413,0.474657985,73.23955924,19862,335,1677,0.549211596,9.1,46,79.6,2447,55.88971097,32.52628609,1016,16.86101442,4.316654034,22,13.30561331,50.55356056,32.4,76.9275766,321.6,80.60472653,67.16049383,2,23.65591398,2323,10636,53.54949149,42,1139,34.6,21.4,16.7,10673.73631,318,73.02034897,"ALABAMA","CULLMAN","AL",181.248767,3.054955047,0
"23",2060,3403,14.4,2165,8.361300442,1844,5167.723678,289,7.281333401,253,29,491,0.113679424,790,205,452,31.64402506,1.148760495,50.88853953,13445,54,599,0.815699727,8.5,12,68,1446,76.56967841,21.33573216,528,14.31686623,5.779701243,21.2,11.07700179,50.72495563,35.3,76.56216216,577.5,83.70703234,64.35845214,2,37.77777778,478,8442,62.78914095,38,655,24.4,21.2,17.1,10782.09588,169,70.52013009,"ALABAMA","DALE","AL",417.9437169,5.766414098,0
"24",92,6634,12,3760,4.845117736,1202,5067.105731,547,13.73064159,294,15,416,0.030100257,887,345.6666667,400,65.29585285,0.414457385,45.63897764,9891,50,1469,0.201440182,12.8,29,80.8,1986,86.8349712,26.80965148,919,14.77930198,0.759452638,20.6,22.38761536,53.72201255,41.4,71.01290323,1262.3,80.97897027,62.01923077,2,51.72413793,434,4292,43.39298352,41,524,21.6,25.2,33.4,10281.00137,178,86.5860512,"ALABAMA","DALLAS","AL",794.3195049,19.7034788,0
"25",1134,5417,10.1,3670,11.74773289,283,1603.039231,148,8.4756054,294,57,685,0.783622294,1425,119,868,33.72852517,0.401606426,90.1306445,18363,351,242,2.188545121,8.7,25,78.3,2373,53.2372333,25.35037098,989,14.80585256,13.99745323,18,14.15076152,50.71715433,32.4,86.01183432,207.4,84.64564062,53.72262774,1651,20.68965517,896,7162,39.00234167,39,1904,26.5,20.4,26.2,10202.70467,274,92.37944901,"ALABAMA","DEKALB","AL",169.3476085,2.679307502,0
"26",280,3767,10.3,3205,5.451138066,1045,5201.940725,400,6.839602494,292,29,708,0.121024592,557,113.6666667,1349,30.22470102,0.678735855,54.18836614,21975,89,488,0.425457585,8.8,22,78.1,2402,73.25031631,25.93989838,794,12.95935706,2.722429475,21.4,11.54538905,51.21336511,30.6,74.40302491,499,85.74148942,66.24293785,1355,42.35294118,1402,12409,56.46871445,55,1042,45.1,16.7,14.9,9674.278781,303,81.07200958,"ALABAMA","ELMORE","AL",142.7417296,6.203019179,0
"27",661,3176,7.7,2035,20.35255142,703,2903.320779,216,8.921133019,293,54,462,0.049799492,331,205,322,50.62900275,0.275207716,63.51157389,10193,384,1662,3.430922863,11,22,104.2,1285,76.37906648,37.31301093,608,15.71300732,1.955285299,20.9,14.74103586,48.42869499,36.9,76.53125,567,81.98427198,61.47186147,543,40.98360656,464,4668,45.7961346,27,551,28,28.1,20.5,11282.95267,198,117.3571589,"ALABAMA","ESCAMBIA","AL",537.6955157,9.422477509,0
"28",2062,7270,10.7,5985,12.24967311,1843,9001.224579,594,7.213338619,280,89,1089,0.310648335,266,453.6666667,2257,35.88866363,0.727722488,37.48348176,26079,52,1393,0.539799421,8.9,75,78.2,3275,79.68374866,21.19606359,1303,16.36428079,3.503422884,26,14.39220873,51.59734607,31.8,75.04199855,569.5,86.63434903,56.01469238,864,35,2284,14348,55.01744699,77,1254,26.9,22.7,24.7,12275.49731,407,92.72043333,"ALABAMA","ETOWAH","AL",434.6534748,7.432385934,0
"29",656,1008,11.15,685,10.5319442,708,229.2411441,61,7.962129443,248,13,212,0.005867856,1571,23.66666667,569,33.44855092,0.240582091,80.23316513,3801,69,1094,0.387278488,9.6,17,114.4,513,88.99624944,42.12777679,196,18.37131249,1.308531863,14.1,9.560362875,50.55157845,36.4,82.5,355,84.65276689,61.32075472,2,21.42857143,599,1478,38.88450408,14,193,32.2,31.8,28.2,10067.33539,100,100.7894165,"ALABAMA","FAYETTE","AL",138.9350919,0,0
"30",871,2437,11.15,1760,14.1794663,503,1155.260337,89,8.159378333,228,31,400,0.125841566,1134,86.33333333,969,32.38636364,0.305165796,70.36651527,8186,51,1847,1.475492355,8.5,16,92.4,1071,70.52412246,29.73113902,481,15.48439911,15.12301013,24.5,14.23372422,50.15730196,34.3,85.43300248,279.1,81.27603765,53.25,2,40,988,3702,45.22355241,22,582,32.3,24,24.3,11668.90315,145,111.1154521,"ALABAMA","FRANKLIN","AL",275.8929237,0,0
"31",755,2098,12.6,1530,5.421758602,610,249.2305715,115,6.936681023,253,10,332,0.055963885,244,93.66666667,490,43.25101489,0.309666828,89.64165734,6348,275,724,0.858112898,8.6,5,88.9,757,70.91015267,32.53055161,317,18.33574691,3.395142335,32.5,14.27238806,51.2144163,34,76.57852564,429.4,81.84370613,59.3373494,2,25.92592593,509,3204,50.47258979,17,350,39.7,28.3,24.4,10933.10447,118,103.4469647,"ALABAMA","GENEVA","AL",352.5013799,8.132637902,0
"32",85,1014,11.15,775,0,1219,1895.323466,146,11.362148,288,0,95,0,609,94,1450,49.45652174,0.179352091,100,1838,143,285,0.212980608,16,3,82,347,78.18812873,33.48910843,126,16.74177558,0.93038897,18.1,22.01704546,53.0770093,47.9,67.5,1636.6,72.89899769,52.63157895,538,20,1479,692,37.64961915,37,125,39.5,27.1,22.6,9235.987698,38,116.2059715,"ALABAMA","GREENE","AL",1111.286255,18.26678642,0
"33",756,1419,11.15,965,0,610,35.66001596,185,9.888751545,293,0,162,0.006505758,725,70.5,1378,54.91655969,0.273241819,89.16878173,3527,315,504,0.175655455,13.9,1,82.8,560,91.44111192,42.87826947,197,16.34390434,1.034415458,21.8,16.50983747,52.67061349,41.6,67,1199.7,82.79467681,55.55555556,1091,44,1403,1443,40.91295719,15,226,43.1,21.1,22.6,9673.189953,67,83.21422999,"ALABAMA","HALE","AL",415.059904,15.75120103,0
"34",91,1120,11.15,785,0,1213,172.8132423,114,7.297718577,247,0,233,0.017218619,372,53.33333333,599,32.55386232,0.464902715,87.75286094,3913,217,451,0.344372381,8.9,5,87.5,515,78.18812873,31.88481192,189,19.22832186,2.272857717,17,11.79564237,52.09206222,34.6,72,654.7,88.09636278,56.22317597,1222,38.46153846,618,2208,56.42729364,37,247,42.5,18.4,16.3,10081.56844,75,51.68460403,"ALABAMA","HENRY","AL",311.4173382,0,0
"35",2650,7114,13.3,4835,8.513149146,1503,7445.464295,795,7.00513002,238,58,1100,0.063461069,789,488.6666667,1918,40.66536681,0.855259946,33.80405133,26246,228,1326,0.497925311,8.7,78,65.1,3168,69.88898793,17.17307673,1266,15.2269782,3.054918233,18.4,12.71197581,52.16890408,34.9,71.14555468,776.6,87.66650673,64.36363636,2,32.35294118,1943,14085,53.66532043,69,1182,24.3,20.7,19.8,9922.89761,322,58.83384529,"ALABAMA","HOUSTON","AL",534.0424757,5.430802041,0
"36",1313,2883,8.4,2630,9.361142166,139,2174.282572,106,7.070864303,317,35,723,0.118354312,1302,127,633,22.94747578,0.464024047,77.01730325,12949,255,1734,1.542363329,8.7,29,93.6,1817,81.94370468,34.50249541,625,17.54088157,2.605673492,22.1,12.42030697,50.7965433,30,79.51750381,198.9,87.2286912,52.0055325,869,25.67567568,648,6013,46.43601823,40,704,36,28,22,10895.39367,250,106.9409928,"ALABAMA","JACKSON","AL",241.5443624,5.08176289,0
"37",2434,42170,14.5,45180,10.44519374,1625,75209.93406,5636,6.771873098,272,480,3750,0.079518398,1250,4488.333333,1643,42.23319901,1.475339433,9.833765145,177321,280,1100,0.388031571,11.6,647,79.3,20692,96.98899826,18.12676331,7480,13.57542094,3.920378411,21.2,17.34756566,52.69930057,32.2,72.71435782,855.3,83.98711448,66.13333333,187,16.12903226,1672,116658,65.78916203,603,8657,31.1,17.8,22.6,9535.055237,2604,55.5404539,"ALABAMA","JEFFERSON","AL",697.5263586,17.4739387,0
"38",1196,944,11.15,540,9.628994829,231,52.19318532,44,7.571752266,241,10,201,0.013973311,1548,7.333333333,1021,37.69779708,0.07685321,100,3372,16,443,0.174666387,9.1,1,82.7,401,78.18812873,28.88698449,177,19.74191739,1.327464543,26.1,9.083263246,51.34493118,31.3,72.5,307.5,85.14428215,59.70149254,2,30.76923077,1038,1553,46.05575326,37,198,31,28.5,21.5,10977.75992,61,95.94794165,"ALABAMA","LAMAR","AL",53.21851037,0,0
